iter	Passed	Remaining
0	2	2359
1	4	2063
2	5	1965
3	7	1918
4	9	1893
5	11	1929
6	13	1946
7	15	1898
8	17	1898
9	19	1885
10	21	1954
11	24	2027
12	26	1995
13	27	1958
14	29	1927
15	30	1892
16	32	1869
17	34	1858
18	36	1865
19	38	1864
20	39	1843
21	41	1825
22	42	1804
23	43	1779
24	45	1772
25	47	1765
26	49	1771
27	50	1769
28	52	1766
29	54	1750
30	55	1736
31	57	1726
32	58	1726
33	60	1718
34	62	1712
35	63	1705
36	65	1705
37	67	1699
38	68	1689
39	69	1678
40	71	1666
41	73	1665
42	74	1659
43	76	1658
44	78	1658
45	80	1662
46	81	1654
47	83	1648
48	84	1643
49	86	1638
50	87	1630
51	88	1621
52	90	1618
53	92	1620
54	94	1622
55	95	1615
56	97	1608
57	98	1600
58	99	1594
59	101	1587
60	102	1582
61	104	1579
62	106	1579
63	108	1587
64	110	1583
65	111	1578
66	112	1572
67	114	1567
68	115	1562
69	117	1557
70	118	1556
71	121	1567
72	123	1564
73	124	1560
74	126	1556
75	127	1552
76	129	1547
77	130	1543
78	132	1539
79	134	1549
80	136	1551
81	138	1547
82	139	1535
83	140	1534
84	142	1530
85	143	1526
86	144	1521
87	146	1518
88	148	1520
89	150	1519
90	151	1515
91	153	1511
92	154	1508
93	156	1505
94	157	1501
95	159	1498
96	160	1498
97	162	1498
98	164	1496
99	165	1493
100	167	1489
101	169	1489
102	170	1485
103	171	1480
104	173	1478
105	175	1482
106	177	1482
107	179	1479
108	180	1475
109	182	1472
110	183	1468
111	184	1465
112	186	1462
113	187	1460
114	189	1461
115	191	1461
116	192	1456
117	194	1453
118	196	1452
119	197	1448
120	198	1444
121	200	1442
122	202	1446
123	204	1446
124	206	1443
125	207	1441
126	209	1437
127	210	1433
128	211	1431
129	213	1428
130	215	1426
131	216	1425
132	218	1424
133	220	1421
134	221	1418
135	222	1416
136	224	1413
137	225	1409
138	227	1406
139	228	1405
140	230	1404
141	231	1400
142	233	1398
143	235	1397
144	236	1396
145	238	1393
146	239	1391
147	241	1388
148	242	1387
149	244	1385
150	246	1385
151	247	1382
152	249	1381
153	251	1378
154	252	1376
155	253	1374
156	255	1371
157	257	1370
158	259	1370
159	260	1367
160	261	1362
161	262	1360
162	264	1357
163	265	1354
164	267	1352
165	268	1350
166	270	1351
167	272	1351
168	274	1352
169	276	1349
170	278	1347
171	279	1345
172	281	1343
173	282	1341
174	284	1340
175	286	1340
176	287	1338
177	289	1336
178	290	1334
179	292	1331
180	293	1329
181	295	1326
182	296	1323
183	298	1323
184	300	1322
185	301	1321
186	303	1319
187	304	1317
188	306	1314
189	307	1312
190	309	1310
191	310	1308
192	312	1307
193	314	1306
194	316	1304
195	317	1302
196	319	1300
197	320	1297
198	321	1295
199	323	1292
200	324	1290
201	325	1287
202	327	1285
203	329	1284
204	330	1283
205	332	1280
206	333	1278
207	335	1276
208	336	1274
209	338	1271
210	339	1270
211	341	1268
212	343	1268
213	344	1265
214	347	1267
215	348	1265
216	349	1262
217	351	1260
218	352	1258
219	354	1257
220	356	1255
221	358	1254
222	359	1253
223	361	1252
224	362	1249
225	364	1247
226	365	1246
227	367	1244
228	369	1243
229	371	1243
230	372	1241
231	374	1238
232	375	1236
233	377	1234
234	378	1233
235	380	1231
236	382	1229
237	383	1228
238	385	1227
239	387	1225
240	388	1223
241	389	1221
242	391	1220
243	393	1218
244	394	1215
245	396	1214
246	397	1213
247	399	1211
248	401	1209
249	402	1207
250	404	1205
251	405	1203
252	407	1201
253	408	1199
254	410	1197
255	411	1196
256	413	1195
257	414	1193
258	416	1191
259	417	1189
260	419	1187
261	420	1185
262	422	1183
263	423	1181
264	425	1179
265	427	1178
266	428	1176
267	430	1174
268	431	1172
269	433	1171
270	434	1169
271	436	1167
272	437	1164
273	438	1163
274	440	1162
275	442	1160
276	443	1158
277	445	1156
278	446	1154
279	448	1153
280	449	1151
281	451	1149
282	452	1147
283	454	1145
284	456	1144
285	457	1142
286	458	1140
287	460	1138
288	462	1136
289	463	1135
290	465	1133
291	466	1131
292	468	1130
293	470	1129
